id;naziv;adresa;racun;telefon;pib;pdv;odgovorno_lice_narucioca;email
1;Savings hack;web-enabled;metrics;Fresh withdrawal Philippines;haptic salmon;Buckinghamshire deposit;Shoes optimize Buckinghamshire;Gardner_Wolf@gmail.com
2;quantifying Arkansas;system;Colon;Home;Practical 1080p 1080p;RAM Delaware;Direct Computers;Cielo_Witting53@yahoo.com
3;Shoal;Brunei;backing portals Assistant;interactive;Account Metal;Rubber;Maine;Danielle37@gmail.com
4;Kentucky mission-critical Orchestrator;National cross-platform;evolve;Chips;Facilitator Cheese auxiliary;users deposit Realigned;Branding Producer Handcrafted;Ernesto66@gmail.com
5;Licensed harness;South;payment;integrated;Movies Chicken;redundant Interactions;morph complexity viral;Aurelio_Lindgren@gmail.com
6;Configuration panel;Frozen Netherlands;New Unbranded Computer;Intranet salmon;Soap frictionless;Kids Salvador interface;user-facing invoice;Luciano15@yahoo.com
7;Nicaragua synthesize;archive;District;Lakes fault-tolerant;indexing;Home Personal generating;deposit task-force;Abel_Dibbert@gmail.com
8;SQL;up hybrid;Senegal Account Nepal;service-desk;transmitting;Junction;Kids Fish Dollar;Kole.Langworth@gmail.com
9;Multi-channelled;SDD sensor;invoice optimize;Philippine Chips;deposit Borders;Soft;purple;Omer_Denesik99@gmail.com
10;Towels Virginia;Home synergistic;granular asymmetric North;plum compelling synergistic;Fantastic contingency Hat;override EXE;calculate Sausages Inlet;Kaitlyn_Legros78@hotmail.com
